year,state,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2012,Utah,Utah County,49049,540383,369001,187775,264201,241972,50660,23868,20996,527424,2559,10400,540383,271278,269105,452755,2596,59465,9742,1152,14611,12025,188564,213595,217745,79247,29796,244472,18365,356718,61497,96632,382254,22990,35732.31646835088,25080,37643.9804235897
2012,Utah,Weber County,49057,236135,172447,70550,141890,82529,33412,13064,13024,233227,2066,842,236135,119104,117031,183081,1823,40681,3450,729,6249,22906,62904,90072,114460,21351,10252,109098,6184,169544,37575,55465,143095,29259.999999999996,37098.09097259806,31349.999999999996,39494.187892274
2016,Utah,Davis County,49011,342251,242342,111562,197518,126764,47428,5289,5289,339712,1297,1242,342251,172711,169540,286865,4346,32294,9802,877,7929,11701,98070,122078,143616,51140,25417,161810,6308,239803,22630,62322,257299,32000,46686.66433411275,35400,49644.75088324145
2016,Utah,Salt Lake County,49035,1122036,841369,314142,699857,368993,167285,87481,81359,1108628,6463,6945,1122036,561660,560376,805017,16987,202520,60865,3438,31699,108303,285804,400960,475229,157895,87952,576964,23901,828331,112390,235826,773820,32000,44768.55504101233,34000,47209.277885344694
2016,Utah,Utah County,49049,592051,411042,202064,290356,267629,61842,26485,24609,577169,2659,12223,592051,300063,291988,490060,3139,68283,14498,1977,13852,4969,208155,220621,252189,82638,36603,271359,13635,396579,42780,106762,442509,23000,37437.818599386046,25000,39818.969576266485
2016,Utah,Weber County,49057,247502,184627,70701,152783,82617,39614,10251,10044,244411,2276,815,247502,124403,123099,189337,2228,44592,2380,1861,7104,8510,64446,88292,124771,23312,11127,118364,3265,181561,20245,52074,175183,30000,39304.629655723074,31400,41713.09820268345
2008,Virginia,Arlington County,51013,210121,174188,39065,155516,45573,29133,29103,27064,203403,1358,5360,210121,105012,105109,135021,16154,34002,20596,85,2951,17607,33400,55849,40510,59970,53792,134567,3020,167470,15861,27733,166527,66972,83661.81104506685,67027.81,89309.65094679539
2008,Virginia,Chesterfield County,51041,303250,234694,77712,194332,96766,39387,13389,12569,298671,2106,2473,303250,148364,154886,203315,64857,19185,10413,1028,4173,2703,76789,100154,128599,51739,22758,167156,8564,230115,31443,49936,221871,39067,50519.40532217784,41299.4,53622.75971155899
2008,Virginia,Henrico County,51087,292879,230042,69950,201414,80022,51312,12045,10370,288438,4320,121,292879,138352,154527,183563,77306,8639,15235,1124,6462,2466,62414,96995,114727,53389,27768,154483,7608,225601,28993,69646,194240,39067,52019.82292467619,42415.600000000006,57066.60883245777
2008,Virginia,Alexandria city,51510,143709,115012,30350,104891,30469,24265,21162,19302,141363,2346,0,143709,68869,74840,82697,28005,22155,7509,56,2610,9915,23795,42445,37885,32714,30665,85019,4244,112666,16638,29251,97820,55810.00000000001,78055.29722412393,56256.48,83498.73872412069
